Case,Loation,Date,Summary,Fatalities,Injured,Victims,Location,Age,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,Race,Gender,Latitude,Longitude,Type,Year,Percentage
Sacramento County church shooting,"Sacramento, California",28/02/2022,"""A man believed to be meeting his three children for a supervised visit at a church just outside Sacramento on Monday afternoon fatally shot the children and an adult accompanying them before killing himself, police officials said. Sheriff Scott Jones of Sacramento County told reporters at the scene that the gunman had a restraining order against him, and that he had to have supervised visits with his children, who were younger than 15."" (NYTimes)",4,0,4,Religious,0,Unclear,Unknown,Unknown,Unknown,Male,38.60111019,-121.4189659,Mass,2022,0.793650794
Oxford High School shooting,"Oxford, Michigan",30/11/2021,"Ethan Crumbley, a 15-year-old student at Oxford High School, opened fire with a Sig Sauer 9mm pistol purchased four days earlier by his father, and was apprehended by police shortly thereafter. Prosecutors filed charges against Crumbley for terrorism and first-degree murder.",4,7,11,School,15,Unclear,Unknown,semiautomatic handgun,Unknown,Male,42.84410784,-83.25992831,Mass,2021,0.793650794
San Jose VTA shooting,"San Jose, California",26/05/2021,"Samuel Cassidy, 57, a Valley Transportation Authorty employee, opened fire at a union meeting at the light rail facility, soon also fatally shooting himself at the scene. Before the attack, Cassidy had set fire to his own house, where he also had firearms and a stockpile of ammunition. His legal history included his ex-wife filing a restraining order against him in 2009.",9,0,9,Workplace,57,Yes,Unknown,semiautomatic handguns,Unknown,Male,37.316097,-121.888533,Mass,2021,0.793650794
FedEx warehouse shooting,"Indianapolis, Indiana",15/04/2021,"Brandon Scott Hole, 19, opened fire around 11 p.m. in the parking lot and inside the warehouse, and then shot himself fatally as police responded to the scene.",8,7,15,Workplace,19,Yes,Yes,semiautomatic rifle,White,Male,39.68663,-86.32313,Mass,2021,0.793650794
Orange office complex shooting,"Orange, California",31/03/2021,"Aminadab Gaxiola Gonzalez, 44, allegedly opened fire inside a small business at an office complex, killing at least four victims, including a nine-year-old boy, before being wounded in a confrontation with police and taken into custody. According to law enforcement officials, Gonzalez had chained the front and rear gates to the complex with bicycle cable locks to hinder police response.",4,1,5,Workplace,0,Unclear,Unknown,semiautomatic handgun,Unknown,Male,33.83542,-117.85379,Mass,2021,0.793650794
Boulder supermarket shooting,"Boulder, Colorado",22/03/2021,"Ahmad Al Aliwi Alissa, 21, carried out a mass shooting at a King Soopers that left 10 victims dead, including veteran police officer Eric Talley, who was the first officer to respond on the scene. Alissa was wounded by police and taken into custody.",10,0,10,Workplace,21,Yes,Yes,"semiautomatic rifle, semiautomatic handgun; tactical vest",Unknown,Male,39.986961,-105.251168,Mass,2021,0.793650794
Atlanta massage parlor shootings,"Atlanta, Georgia",16/03/2021,"Robert Aaron Long, 21, killed eight people at three massage parlors. An additional victim was injured. Six of the deceased victims were women of Asian descent. According to law enforcement officials, Long, who is white, made claims in custody about having sexual addiction issues, and had frequented the massage parlors. He also spoke of intent to attack additional locations in Florida.",8,1,9,Workplace,21,Unclear,Unknown,Unknown,White,Male,34.111653,-84.580376,Spree,2021,0.793650794
Springfield convenience store shooting,"Springfield, Missouri",16/03/2020,"Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",4,0,4,Workplace,31,Unclear,Unknown,Unknown,Unknown,Male,37.210432,-93.23686,Mass,2020,0.793650794
Molson Coors shooting,"Milwaukee, Wisconsin",26/02/2020,"Anthony Ferrill, 51, an employee armed with two handguns, including one with a silencer, opened fire on the Milwaukee campus of the beer company, killing five people and then committing suicide. According to the Milwaukee Journal Sentinel, Ferrill ""had been involved in a long-running dispute with a co-worker that boiled over"" in the run-up to the attack.",5,0,5,Workplace,51,Unclear,Unknown,semiautomatic handgun,Black,Male,43.044511,-87.962537,Mass,2020,0.793650794
Jersey City kosher market shooting,"Jersey City, New Jersey",10/12/2019,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by anti-Semitism and anti-law enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",4,3,7,Other,100,Unclear,Unknown,Unknown,Black,Male & Female,40.707363,-74.083609,Spree,2019,0.793650794
Pensacola Naval base shooting,"Pensacola, Florida",6/12/2019,"Ahmed Mohammed al-Shamrani, A Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriff’s deputies.",3,8,11,Military,0,Unclear,Unknown,semiautomatic handgun,Unknown,Male,30.364707,-87.288567,Mass,2019,0.793650794
Odessa-Midland shooting spree,"Odessa, Texas",31/08/2019,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",7,25,32,Other,36,Yes,Unknown,semiautomatic rifle,White,Male,31.925974,-102.2796,Spree,2019,0.793650794
Dayton entertainment district shooting,"Dayton, Ohio",4/08/2019,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",9,27,36,Other,24,Unclear,Yes,semiautomatic rifle,White,Male,39.757312,-84.184947,Mass,2019,0.793650794
El Paso Walmart mass shooting,"El Paso, Texas",3/08/2019,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",22,26,48,Workplace,21,Unclear,Yes,semiautomatic rifle,White,Male,31.771068,-106.375655,Mass,2019,0.793650794
Gilroy garlic festival shooting,"Gilroy, California",28/07/2019,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",3,12,15,Other,19,TBD,Yes,semiautomatic rifle,Unknown,Male,36.997191,-121.584819,Mass,2019,0.793650794
